127.0.0.1 - - [18/Nov/2019:10:08:09 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:10:05 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 329
127.0.0.1 - - [18/Nov/2019:10:10:32 +0530] "GET /chat HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:10:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:10:39 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:10:39 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:10:40 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:10:40 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:10:40 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:10:41 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:10:41 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:39 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:11:39 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:11:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:40 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:11:40 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:11:40 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:53 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:53 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:53 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:53 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:53 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:54 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:54 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:54 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:11:54 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:11:54 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:11:54 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:11:54 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
